titre,auteurs,description,isbn
Hegel et l'idéalisme allemand,Jean-Louis Vieillard-Baron,"On a voulu montrer dans ce livre que, reflete a travers les miroirs differents que sont les genies philosophiques et politiques de l'epoque, l'idealisme allemand forme une incontestable unite de langage philosophique. A l'interieur de cette grande unite, ou la philosophie ne cesse de se confronter aux plus hauts problemes de l'homme, le clivage entre un idealisme transcendantal et l'idealisme speculatif apparait comme une faille profonde, en ce que la description de la finitude humaine, et par consequent la comprehension des limites de l'homme, est l'objet du premier alors que le rapport d'expression du fini a l'infini est au coeur du second. L'attitude idealiste symbolisee par Hegel a eu de nombreuses consequences. Mais les critiques qui ont ete faites aux successeurs de Hegel ne doivent pas nous faire oublier la presence de l'idealisme allemand. C'est cette presence philosophique que ce livre espere restituer.",9782711613670
La philosophie de moïse,Richard Goulet,"MATERIEL LITTERAIRE. LES TRAITES EXEGETIQUES DE PHILON D'ALEXANDRIE (1ER S. AP.J.C.) : LES TRAITS CONSERVES APPARTENANT A LA SERIE DES ALLEGORIES DES LOIS SACREES (GENESE I-XVII), AINSI QUE LES DEVELOPPEMENTS ALLEGORIQUES DE L'EXPOSITION DES LOIS ET DES QUESTIONS-REPONSES SUR LA GENESE ET SUR L'EXODE. POINT DE DEPART. LES TESTIMONIA PHILONIENS SUR L'EXISTENCE D'ALLEGORISTES JUIFS RADICAUX. OBJECTIFS. RETROUVER LES VESTIGES D'UN COMMENTAIRE ALLEGORIQUE DU PENTATEUQUE D'ORIGINE JUDEO-ALEXANDRINE UTILISE PAR PHILON DANS L'ELABORATION DE SA PROPRE ALLEGORIE. METHODE. ANALYSER SELON L'ORDRE DES VERSETS BIBLIQUES (ET NON CELUI DES TRAITES DE PHILON) LES EXEGESES MULTIPLES PROPOSEES A DIFFERENTS ENDROITS DE L'OEUVRE AFIN DE DECELER LES INCOHERENCES ET METTRE EN LUMIERE DES CONTINUITES THEMATIQUES DANS L'ALLEGORIE. RESULTATS. DECOUVERTE D'UNE SOURCE LITTERAIRE HOMOGENE: UN COMMENTAIRE CURSIF DE L'ECRITURE APPLIQUANT UNE METHODE ALLEGORIQUE RIGOUREUSE AFIN DE DEGAGER, PAR DELA LA DENONCIATION DE L'ABSURDITE OU DE L'INCONVENANCE DU SENS LITTERAL, LA PHILOSOPHIE CACHEE DE MOISE, SOURCE DE LA PENSEE DES GRECS. UNE NOUVELLE IMAGE DE PHILON: MALGRE TOUT LE MATERIEL EXEGETIQUE QU'IL EMPRUNTE A SA SOURCE, IL RESTE UN JUIF PIEUX HOSTILE A L'ALLEGORIE RADICALE ET A LA DEMYTHOLOGISATION DU JUDAISME QU'ELLE ENTENDAIT METTRE EN OEUVRE.",9782711609406
The foremost problems of contemporary dogmatics,Herman Bavinck,"Herman Bavinck on the challenges theologians face · Herman Bavinck's counsel to theologians · A unique window into Bavinck's thought · An overlooked work from a key Neo-Calvinist thinker In The Foremost Problems of Contemporary Dogmatics, Herman Bavinck identifies the primary challenges confronting Protestant theologians in the early twentieth century. Since the main difficulties do not concern specific heads of doctrine but arise in theological method, Bavinck's focus narrows to the act of faith. Bavinck demonstrates the necessity of viewing faith as knowledge rather than mere trust, recounting the development of doctrine from the biblical authors through the dawn of the twentieth century. This book provides a unique window into Bavinck's thought, as he speaks candidly about the limitations and failures of Reformed theology and the relative merits of modern thinkers. The Foremost Problems of Contemporary Dogmatics was a series of lectures delivered at the Free University shortly after Bavinck moved to Amsterdam in 1902. Edited and translated by Gert de Kok and Bruce R. Pass, these previously unpublished lectures are available for the first time in English.",9781493458004
La demande philosophique,Jacques Bouveresse,"""""La demande philosophique"" est la version intégrale de la Leçon inaugurale de la Chaire de Philosophie du Langage et de la Connaissance du Collège de France, prononcée le 6 octobre 1995.""",9782841620166
La philosophie morale et politique de charles taylor,Bernard Gagnon,"Ce livre offre une interprétation de la pensée du philosophe canadien Charles Taylor. Les différentes composantes de cette philosophie - le langage, l'identité morale, le multiculturalisme, la théorie politique, etc. - sont exposées par l'entremise d'une étude exhaustive de l'œuvre de Taylor. L'ouvrage démontre comment ces divers éléments convergent tous vers une nouvelle théorie morale et politique adaptée à notre condition contemporaine. Essence et existence sont les deux axes fondamentaux de la pensée de Taylor : d'une part, la nécessité, toujours présente aujourd'hui, de recourir à des sources morales pour atteindre nos idéaux modernes de liberté et d'authenticité et, d'autre part, le besoin d'incarner dans nos modes de vie ces idéaux moraux pour une pleine réalisation de notre identité moderne. La philosophie de Taylor comprend un versant pratique : une meilleure compréhension de soi transforme notre vision des choses et élargit nos capacités d'agir. Ce livre, par la lecture d'ensemble qu'il propose de l'œuvre de Charles Taylor, donne une compréhension substantielle de l'un des philosophes contemporains les plus influents.",9782763778662
Dieu peut-il mourir en afrique ?,METOGO Eloi Messi,Y a-t-il une heure pour poser les bonnes questions ? Est-il trop tôt pour se demander si l'Afrique noire sera toujours religieuse ? C'est ce sujet qu'aborde le présent essai sur l'indifférence religieuse et l'incroyance en Afrique noire. En coédition avec les Presses de l'UCAC.,9782811109189
Les grands textes de la philosophie pour les nuls,Marie Bretin,"Les grands textes de la philosophie à portée de tous ! Dans la continuité de La philosophie pour les Nuls, qui a rendu accessible au plus grand nombre une discipline réservée auparavant aux plus érudits, ce nouvel opus de la collection pour les Nuls met à portée de tous les grands textes de la philosophie, expliqués et commentés par l'auteur. Du mythe de la Caverne de Platon à l'existentialisme de Sartre, en passant par le Cogito de Descartes et la sagesse chinoise de Confucius, Marie-Line Bretin revient sur tous les textes clés qui ont fait l'histoire mondiale de la philosophie en apportant pour chacun d'entre eux, une mise en contexte, un extrait choisi, un éclairage de l'idée clé et des concepts abordés.",9782754084628
Science et philosophie en france et en italie entre les deux guerres,"Jean Petitot, Luca M. Scarantino","Le rationalisme italien est une figure majeure de la pensée du 20e siècle, non seulement en Italie mais également en France. Pour bien comprendre ce courant de pensée, il faut voir le rationalisme comme une tentative double, touchant à la fois la science et la philosophie. D’une part, le rationalisme tente de saisir la dimension culturelle de la science, d’autres part, il vise à élaborer une conception nouvelle, plus ouverte, de la raison philosophique. L’ouvrage s’intéresse également à l’influence exercée par la pensée italienne sur la pensée française contemporaine. Il montre également comment le rationalisme en Italie s’est ouvert à l’historicisme sans pour autant fragiliser la structure même de la raison. Des figures importantes de la pensée italienne sont abordées ici, comme celles de Giovanni Vailati, Antonio Banfi, Giulo Prezti, etc.",N/A
La guerre des mondes,H. G. Wells,"La Guerre des mondes (The War of the Worlds) est un roman de science-fiction écrit par H. G. Wells, publié en 1898. C'est une des premières oeuvres d'imagination dont le sujet est l'humanité confrontée à une race extraterrestre hostile, en plus d'être le reflet de l'angoisse de l'époque victorienne et de l'impérialisme. Le roman a été adapté en feuilletons radiophoniques (dont une version d'Orson Welles qui aurait défrayé la chronique en 19383), en jeux de rôle, en bande dessinée ainsi qu'en deux longs-métrages (le premier étant réalisé par Byron Haskin en 1953 et le second par Steven Spielberg en 2005).",9782322127214
La science-fiction pour les nuls,Jean-Louis Fetjaine,"Embarquez pour un voyage passionnant au-delà du réel ! Découvrez un genre unique, en constante évolution ! Il y a les voyages dans l'espace ou dans le temps, les vaisseaux intergalactiques et les invasions extraterrestres, les robots et les androïdes, les savants fous, les super-héros, l'intelligence artificielle et les mutants... L'univers de la science-fiction est d'une richesse sans limites ! Partez à la découverte de l'histoire de ce genre avec ses précurseurs - Jules Verne et Mary Shelley -, ses auteurs plus modernes - Kim Stanley Robinson ou Pierre Bordage -, et sous toutes ses formes : romans, BD, comics et mangas, films et jeux vidéo...",9782412053683
Science-fiction,"Everett Franklin Bleiler, Richard Bleiler","Complementing Science-Fiction: The Early Years, which surveys science-fiction published in book form from its beginnings through 1930, the present volume covers all the science-fiction printed in the genre magazines--Amazing, Astounding, and Wonder, along with offshoots and minor magazines--from 1926 through 1936. This is the first time this historically important literary phenomenon, which stands behind the enormous modern development of science-fiction, has been studied thoroughly and accurately. The heart of the book is a series of descriptions of all 1,835 stories published during this period, plus bibliographic information. Supplementing this are many useful features: detailed histories of each of the magazines, an issue by issue roster of contents, a technical analysis of the art work, brief authors' biographies, poetry and letter indexes, a theme and motif index of approximately 30,0000 entries, and general indexes. Science-Fiction: The Gernsback Years is not only indispensable for reference librarians, collectors, readers, and scholars interested in science-fiction, it is also of importance to the study of popular culture during the Great Depression in the United States. Most of its data, which are largely based on rare and almost unobtainable sources, are not available elsewhere.",9780873386043
Global science fiction,Gary Westfahl,"Science fiction represents a diverse community of writers and readers that spans the entire world. This collection provides a global tour of the genre, with essays about Latin American, European, African, Arabic, Indian, Japanese, and Chinese science fiction providing insights about how writers around the world have explored and reinvigorated the genre. Essays by prominent critics from five continents inform about particular cultures and analyze representative texts by authors such as Tobias S. Buckell, Lourenco Mutarelli, Stanislaw Lem, Masande Ntshanga, Tawfiq Al-Hakim, Anil Menon, and Cixin Liu. The contributing scholars examine how national experiences have shaped these narratives, which often differ strikingly from Anglo-American science fiction. An introductory survey of foreign-language science fiction in the United States endeavors to explain why so many of these texts have remained unknown to Anglophone readers. An extensive bibliography lists numerous resources for further study of science fiction from various parts of the world.",9781476689142
Nous sommes partout,Guy Adrian,"Alors que le monde dérivait et partait en vrille, l'arrivée des robots est apparue comme salvatrice. Mais le sera-t-elle vraiment ? En 2039, le monde a bien changé sous les coups de boutoir des mouvements citoyens écologistes contre des gouvernements toujours plus autoritaires et la présence massive des robots, remplaçants les fonctionnaires dans les services publics, les vendeurs dans les commerces, les ouvriers dans les usines... Yannick Prignat, policier de son état, s'installe chez son père André, agriculteur bientôt converti au bio, en Corrèze, la retraite venue. Ses collègues lui ont offert une sex-robote, jeune et jolie, plus vraie que nature, mais la cohabitation avec André est houleuse. Immergez-vous dans un monde bouleversé par les crises, qui tente de se reconstruire grâce aux nouvelles technologies et aux nouvelles connaissances humaines. Mais jusqu'où peut-on aller dans la technologie sans déshumaniser l'homme et la société qui l'entoure ? EXTRAIT –Pourquoi tu ne commanderais pas une autre robote à « Vraie compagne », modèle rustique, 50-60 ans, bonne ménagère, pour s’occuper de ton cher père ? Il l’appellerait Lucienne ou Georgette et même, avec celle-ci, plus Cynthia, vous pourriez monter un petit bordel rural avec chambres champêtres et grenier à foin. Ça aurait du succès, vu que les vraies femmes ont déserté vos campagnes ! –N’importe quoi, tu es vraiment cinglé ! –Pas tant que ça, figure-toi. Sous forme de clubs privés, les maisons closes reviennent en force à Paris, c’est tendance ! Finis les clubs échangistes, on revient au vieux système : accueil et salons luxueux où l’on fait son choix. Ensuite on trouve les bars et les escaliers qui montent vers les chambres confortables avec des ambiances particulières : voyages, exotisme, gadgets coquins voire S.M., tout y est comme avant 1946, un siècle déjà ! Le plus luxueux est le « 122 », ou « One Two Two » comme disaient les touristes à l’époque. Ah, oui, un petit détail : tout le personnel vénal est composé de robots ! C’est parfaitement légal, jusqu’à ce qu’une bande de pudibonds crétins décident du contraire. À PROPOS DE L'AUTEUR Tout d'abord destiné à exercer le métier de professeur des collèges, mais devenu enseignant-chercheur, formé en chimie organique, en biologie et en pharmacologie, Guy Adrian a poursuivi une carrière dans l'industrie pharmaceutique en tant que directeur de recherche, puis consultant en parcourant notre vaste monde. Après une retraite précoce, il s'est lancé dans la peinture figurative puis dans l'écriture de techno-thrillers. Résidant à Lyon,il essaye d'appliquer le précepte d'un célèbre lyonnais d'adoption : ""Fais ce que voudras !""",9791023614022
